Employee_ID,Age,Gender,Industry,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Sleep_Quality
EMP0034,48,Male,Healthcare,Remote,26,9,3,Medium,Anxiety,Yes,No Change,5,Neutral,Average
EMP0035,36,Male,IT,Hybrid,22,6,4,Medium,Depression,No,No Change,1,Unsatisfied,Average
EMP0036,46,Prefer not to say,Healthcare,Hybrid,57,8,4,Low,,Yes,No Change,1,Neutral,Poor
EMP0037,48,Male,Finance,Onsite,30,12,1,Low,Depression,Yes,Decrease,5,Satisfied,Poor
EMP0038,31,Female,Healthcare,Remote,47,14,2,Low,,Yes,Increase,2,Satisfied,Good
EMP0039,24,Non-binary,IT,Onsite,48,12,4,Low,Anxiety,Yes,No Change,3,Neutral,Average
EMP0040,49,Male,Consulting,Hybrid,20,1,3,High,,No,Increase,1,Unsatisfied,Poor
EMP0041,30,Non-binary,IT,Remote,44,15,4,High,Burnout,No,Decrease,1,Neutral,Poor
EMP0042,53,Male,IT,Onsite,29,13,2,Low,,No,No Change,1,Unsatisfied,Good
EMP0043,54,Prefer not to say,Finance,Remote,58,6,3,High,,Yes,Increase,3,Unsatisfied,Poor
EMP0044,54,Female,Manufacturing,Remote,53,12,4,Medium,Depression,Yes,No Change,1,Unsatisfied,Average
EMP0045,57,Prefer not to say,Retail,Remote,23,6,3,High,Anxiety,Yes,No Change,5,Neutral,Good
EMP0046,32,Male,Retail,Remote,42,8,2,Medium,Burnout,No,No Change,2,Neutral,Poor
EMP0047,33,Male,Education,Remote,35,15,1,Medium,Burnout,Yes,Decrease,1,Unsatisfied,Good
EMP0048,30,Female,Consulting,Remote,39,2,5,High,,No,Decrease,1,Unsatisfied,Good
EMP0049,22,Female,Healthcare,Onsite,29,9,4,Low,,No,Increase,2,Neutral,Poor
EMP0050,35,Male,Retail,Onsite,37,3,4,Medium,Burnout,No,No Change,1,Satisfied,Average
EMP0051,26,Non-binary,Manufacturing,Onsite,28,10,4,High,Anxiety,Yes,Decrease,5,Satisfied,Good
EMP0052,47,Male,Consulting,Remote,31,9,5,Low,,No,Decrease,4,Satisfied,Good
EMP0053,42,Female,Retail,Onsite,26,14,3,Medium,,No,Decrease,2,Satisfied,Good
EMP0054,60,Prefer not to say,Healthcare,Onsite,46,15,2,Medium,Depression,Yes,No Change,1,Neutral,Average
EMP0055,26,Female,Education,Hybrid,55,6,1,Medium,Burnout,Yes,Decrease,4,Satisfied,Poor
EMP0056,30,Non-binary,Education,Hybrid,47,12,3,Low,Anxiety,No,Increase,3,Neutral,Good
EMP0057,42,Male,IT,Remote,48,13,5,Low,Depression,Yes,Increase,4,Neutral,Good
EMP0058,53,Prefer not to say,IT,Onsite,49,6,5,Low,,No,No Change,4,Satisfied,Average
EMP0059,26,Prefer not to say,Manufacturing,Remote,51,4,1,Low,,No,Decrease,2,Unsatisfied,Average
EMP0060,26,Prefer not to say,IT,Remote,57,13,2,Medium,,Yes,No Change,1,Satisfied,Poor
EMP0061,25,Non-binary,Consulting,Hybrid,33,14,4,Medium,Depression,Yes,No Change,1,Unsatisfied,Good
EMP0062,33,Female,IT,Remote,30,15,2,Medium,Depression,Yes,Increase,5,Unsatisfied,Good
EMP0063,25,Non-binary,Finance,Hybrid,28,4,3,Medium,Depression,No,No Change,3,Satisfied,Poor
EMP0064,22,Female,Healthcare,Onsite,31,15,3,Medium,Depression,Yes,No Change,2,Satisfied,Good
EMP0065,60,Prefer not to say,Healthcare,Hybrid,37,0,4,Medium,Burnout,No,No Change,2,Unsatisfied,Good
EMP0066,56,Male,Finance,Remote,31,3,4,Medium,Anxiety,Yes,Increase,4,Satisfied,Poor
EMP0067,45,Non-binary,IT,Hybrid,46,3,1,Medium,Burnout,No,Increase,3,Satisfied,Good
EMP0068,60,Female,Education,Remote,20,6,2,High,,Yes,Decrease,3,Unsatisfied,Poor
EMP0069,32,Female,Manufacturing,Onsite,51,8,2,High,Anxiety,Yes,Decrease,3,Neutral,Average
EMP0070,25,Female,Finance,Remote,28,13,2,Low,,No,No Change,5,Neutral,Good
EMP0071,43,Prefer not to say,Consulting,Onsite,39,4,4,Medium,Anxiety,No,Increase,4,Satisfied,Average
EMP0072,50,Prefer not to say,Consulting,Remote,29,13,1,Medium,Depression,Yes,No Change,2,Neutral,Average
EMP0073,28,Prefer not to say,Retail,Onsite,30,14,5,High,Burnout,Yes,No Change,2,Unsatisfied,Good
EMP0074,23,Non-binary,IT,Hybrid,53,7,3,High,Anxiety,Yes,Decrease,1,Neutral,Poor
EMP0075,38,Prefer not to say,Consulting,Onsite,57,10,2,Medium,Burnout,No,No Change,3,Neutral,Poor
EMP0076,42,Male,Retail,Onsite,49,3,5,High,Anxiety,Yes,No Change,4,Satisfied,Good
EMP0077,31,Non-binary,Consulting,Onsite,55,8,4,High,Depression,No,No Change,1,Unsatisfied,Good
EMP0078,28,Female,Healthcare,Remote,37,10,5,Medium,Anxiety,Yes,No Change,1,Satisfied,Average
EMP0079,29,Male,Manufacturing,Remote,51,5,2,High,Burnout,Yes,Increase,2,Neutral,Average
EMP0080,27,Male,Consulting,Hybrid,21,7,5,Low,Burnout,No,No Change,4,Unsatisfied,Average
EMP0081,54,Female,Education,Hybrid,21,10,3,High,Burnout,No,Decrease,4,Satisfied,Poor
EMP0082,42,Non-binary,Finance,Onsite,44,9,4,High,Depression,Yes,Increase,3,Neutral,Poor
EMP0083,58,Prefer not to say,Education,Hybrid,26,10,3,High,Depression,Yes,Increase,5,Unsatisfied,Good
EMP0084,26,Female,Healthcare,Hybrid,43,6,4,High,Burnout,Yes,Increase,5,Unsatisfied,Poor
EMP0085,56,Male,Retail,Hybrid,42,14,4,Low,,Yes,Decrease,2,Unsatisfied,Good
EMP0086,50,Male,Finance,Hybrid,44,8,4,Low,Burnout,No,No Change,2,Unsatisfied,Poor
EMP0087,55,Prefer not to say,Manufacturing,Onsite,27,0,1,Low,Anxiety,No,Decrease,1,Satisfied,Poor
EMP0088,22,Prefer not to say,Education,Hybrid,43,5,1,Medium,,Yes,Increase,2,Unsatisfied,Poor
EMP0089,24,Female,Consulting,Remote,38,0,5,High,Anxiety,Yes,Increase,5,Neutral,Poor
EMP0090,53,Prefer not to say,Healthcare,Hybrid,38,4,4,Low,Depression,Yes,Increase,5,Unsatisfied,Poor
EMP0091,57,Female,Retail,Onsite,57,4,4,Medium,Depression,No,No Change,4,Unsatisfied,Average
EMP0092,22,Female,Manufacturing,Onsite,60,3,1,High,Burnout,No,Decrease,3,Satisfied,Good
EMP0093,41,Male,IT,Onsite,29,0,5,Medium,Burnout,No,Increase,3,Satisfied,Poor
EMP0094,46,Non-binary,Education,Remote,54,12,4,High,Depression,Yes,Decrease,2,Satisfied,Average
EMP0095,60,Non-binary,Education,Onsite,31,11,5,High,,No,Decrease,2,Neutral,Average
EMP0096,44,Female,Manufacturing,Remote,54,8,5,Low,Burnout,No,Decrease,1,Satisfied,Good
EMP0097,35,Male,Healthcare,Hybrid,33,11,1,High,Burnout,No,Decrease,5,Neutral,Poor
EMP0098,48,Male,IT,Hybrid,25,1,4,Low,Burnout,No,Increase,4,Neutral,Average
EMP0099,31,Prefer not to say,Healthcare,Onsite,21,15,1,Low,Burnout,No,No Change,4,Satisfied,Good
EMP0100,53,Male,IT,Hybrid,45,10,2,Medium,,No,Decrease,3,Satisfied,Good
EMP0101,32,Prefer not to say,Manufacturing,Onsite,53,5,1,Medium,Depression,No,Increase,5,Satisfied,Poor
EMP0102,33,Prefer not to say,Consulting,Hybrid,46,12,1,High,Burnout,No,Increase,2,Neutral,Poor
EMP0103,45,Prefer not to say,IT,Hybrid,22,9,4,High,Burnout,No,No Change,4,Satisfied,Good
EMP0104,50,Male,Finance,Hybrid,60,12,4,High,Depression,Yes,Increase,4,Satisfied,Good
EMP0105,41,Female,Education,Hybrid,42,2,4,Low,Depression,Yes,Decrease,4,Satisfied,Average
EMP0106,43,Non-binary,Healthcare,Onsite,60,2,3,High,Burnout,Yes,Increase,3,Neutral,Good
EMP0107,29,Prefer not to say,IT,Onsite,35,14,1,Medium,Anxiety,Yes,Decrease,4,Neutral,Good
EMP0108,44,Prefer not to say,Healthcare,Hybrid,44,2,2,High,Anxiety,No,Decrease,2,Satisfied,Poor
EMP0109,50,Prefer not to say,Healthcare,Remote,50,2,4,Medium,Burnout,No,No Change,1,Satisfied,Poor
EMP0110,36,Male,Finance,Remote,22,7,5,Low,Burnout,No,No Change,1,Neutral,Good
EMP0111,34,Female,Education,Hybrid,29,13,3,High,Anxiety,Yes,Increase,5,Unsatisfied,Average
EMP0112,49,Male,Finance,Remote,34,8,5,Low,Burnout,No,Decrease,5,Unsatisfied,Good
EMP0113,45,Female,Retail,Remote,30,7,1,Low,Depression,Yes,Increase,1,Satisfied,Poor
EMP0114,45,Prefer not to say,Retail,Onsite,53,0,3,Low,,Yes,Decrease,1,Neutral,Poor
EMP0115,53,Female,Healthcare,Remote,29,5,2,High,Anxiety,No,No Change,5,Neutral,Poor
EMP0116,29,Male,Education,Onsite,27,1,3,Medium,Anxiety,Yes,No Change,3,Unsatisfied,Good
EMP0117,34,Prefer not to say,Finance,Onsite,44,14,3,Medium,Burnout,No,Increase,5,Satisfied,Good
EMP0118,58,Female,Education,Remote,42,13,2,High,Burnout,No,Increase,5,Satisfied,Good
EMP0119,38,Female,Manufacturing,Hybrid,22,4,2,Medium,Burnout,Yes,Increase,5,Satisfied,Average
EMP0120,40,Prefer not to say,Consulting,Hybrid,34,13,2,Medium,,Yes,Decrease,2,Unsatisfied,Average
EMP0121,45,Prefer not to say,Manufacturing,Onsite,51,13,2,High,Anxiety,No,Decrease,2,Neutral,Average
EMP0122,43,Non-binary,Retail,Hybrid,48,6,5,High,Depression,Yes,No Change,2,Unsatisfied,Good
EMP0123,50,Male,Healthcare,Onsite,30,10,2,High,Anxiety,Yes,No Change,3,Unsatisfied,Good
EMP0124,58,Prefer not to say,Consulting,Onsite,59,7,2,Low,,Yes,Increase,1,Satisfied,Average
EMP0125,42,Non-binary,Manufacturing,Remote,26,14,2,High,Depression,Yes,No Change,1,Unsatisfied,Average
EMP0126,53,Prefer not to say,Finance,Hybrid,60,1,3,Low,Burnout,No,Increase,5,Unsatisfied,Average
EMP0127,36,Female,Retail,Onsite,38,2,2,Medium,Burnout,Yes,Decrease,2,Unsatisfied,Good
EMP0128,51,Female,Finance,Remote,34,0,5,High,,Yes,Decrease,2,Unsatisfied,Average
EMP0129,27,Female,Consulting,Onsite,46,12,4,Medium,Burnout,No,No Change,2,Unsatisfied,Poor
EMP0130,22,Female,Retail,Hybrid,35,2,3,Low,,Yes,Decrease,5,Unsatisfied,Average
EMP0131,32,Female,Education,Remote,23,9,1,Medium,,No,No Change,5,Neutral,Good
EMP0132,32,Female,Manufacturing,Remote,28,15,5,Low,Burnout,Yes,Increase,2,Unsatisfied,Average
EMP0133,53,Male,Retail,Onsite,57,10,3,Medium,,No,No Change,4,Neutral,Good
EMP0134,26,Non-binary,Manufacturing,Hybrid,29,4,1,Low,,Yes,Decrease,4,Satisfied,Good
EMP0135,60,Male,Finance,Hybrid,39,1,4,Medium,,No,Increase,5,Unsatisfied,Poor
EMP0136,51,Non-binary,IT,Remote,46,4,5,Medium,Burnout,No,Increase,4,Unsatisfied,Good
EMP0137,44,Male,Healthcare,Remote,26,9,2,High,Burnout,No,No Change,4,Neutral,Good
EMP0138,48,Non-binary,IT,Remote,32,4,4,Medium,,Yes,No Change,5,Satisfied,Poor
EMP0139,57,Non-binary,Education,Remote,30,11,3,High,,No,Increase,3,Unsatisfied,Poor
EMP0140,49,Non-binary,Education,Hybrid,48,3,5,Low,Anxiety,Yes,Decrease,5,Satisfied,Average
EMP0141,32,Non-binary,Education,Onsite,44,13,1,High,Anxiety,Yes,Decrease,1,Satisfied,Poor
EMP0142,49,Female,Healthcare,Hybrid,49,15,5,Low,Burnout,Yes,Decrease,5,Neutral,Poor
EMP0143,23,Female,Manufacturing,Hybrid,23,0,5,High,,No,No Change,2,Unsatisfied,Poor
EMP0144,55,Prefer not to say,Finance,Onsite,33,6,5,Low,Burnout,No,No Change,4,Satisfied,Good
EMP0145,47,Non-binary,Education,Remote,35,15,5,High,Anxiety,No,No Change,4,Unsatisfied,Average
EMP0146,48,Non-binary,Consulting,Remote,41,8,3,Medium,Depression,Yes,Decrease,4,Satisfied,Poor
EMP0147,36,Prefer not to say,Healthcare,Hybrid,34,12,2,Low,Depression,No,Increase,4,Neutral,Average
EMP0148,45,Male,Finance,Remote,44,10,1,Low,Anxiety,Yes,No Change,1,Unsatisfied,Average
EMP0149,41,Female,IT,Onsite,52,8,4,High,Depression,Yes,Decrease,3,Satisfied,Good
EMP0150,50,Male,Consulting,Onsite,57,11,2,Low,Burnout,Yes,Decrease,1,Unsatisfied,Good
EMP0151,41,Female,Consulting,Remote,32,15,3,High,Anxiety,Yes,Decrease,2,Unsatisfied,Average
EMP0152,57,Female,Consulting,Remote,31,6,4,Low,Burnout,No,No Change,3,Satisfied,Poor
EMP0153,30,Male,Healthcare,Hybrid,58,15,1,Medium,Burnout,No,Increase,2,Unsatisfied,Poor
EMP0154,23,Female,Consulting,Remote,26,9,1,Medium,Depression,Yes,No Change,2,Unsatisfied,Poor
EMP0155,30,Male,Consulting,Remote,57,5,1,Low,,Yes,No Change,2,Unsatisfied,Average
EMP0156,47,Female,Healthcare,Onsite,20,8,1,Low,,No,Decrease,4,Neutral,Good
EMP0157,33,Prefer not to say,Finance,Hybrid,26,0,4,High,,No,Decrease,1,Satisfied,Average
EMP0158,32,Male,Finance,Hybrid,43,15,3,High,Depression,No,No Change,4,Neutral,Good
EMP0159,43,Male,Manufacturing,Onsite,50,14,3,Low,Depression,Yes,Increase,1,Unsatisfied,Average
EMP0160,43,Non-binary,Healthcare,Onsite,52,0,5,High,Burnout,No,Increase,2,Satisfied,Good
EMP0161,35,Female,IT,Hybrid,37,1,4,Medium,Anxiety,No,Decrease,2,Satisfied,Average
EMP0162,40,Female,Education,Hybrid,38,0,3,High,,Yes,No Change,4,Neutral,Average
EMP0163,29,Prefer not to say,Consulting,Hybrid,55,11,1,High,Depression,No,Increase,1,Unsatisfied,Poor
EMP0164,24,Non-binary,Manufacturing,Hybrid,53,14,1,Medium,,No,Increase,3,Neutral,Average
EMP0165,40,Male,Healthcare,Onsite,20,13,1,Medium,Burnout,No,Increase,5,Neutral,Good
EMP0166,22,Female,Manufacturing,Hybrid,46,1,2,Low,Anxiety,Yes,Increase,1,Neutral,Poor
EMP0167,48,Non-binary,Education,Onsite,30,8,2,Low,Depression,Yes,No Change,3,Satisfied,Average
EMP0168,60,Non-binary,Retail,Remote,50,8,2,High,Anxiety,No,No Change,3,Satisfied,Poor
EMP0169,34,Prefer not to say,Healthcare,Remote,50,13,2,Medium,,Yes,No Change,3,Satisfied,Average
EMP0170,50,Prefer not to say,Manufacturing,Hybrid,50,0,1,Low,Burnout,Yes,Increase,5,Satisfied,Poor
EMP0171,38,Male,Retail,Remote,23,7,1,Low,,No,Increase,4,Neutral,Poor
EMP0172,36,Male,Retail,Onsite,45,3,4,Medium,Depression,No,Decrease,3,Unsatisfied,Good
EMP0173,35,Non-binary,Finance,Hybrid,25,4,1,Medium,Burnout,No,No Change,4,Satisfied,Good
EMP0174,25,Prefer not to say,Manufacturing,Remote,36,9,2,High,,Yes,Increase,1,Neutral,Good
EMP0175,34,Non-binary,Education,Onsite,60,3,2,Low,,Yes,Decrease,3,Unsatisfied,Good
EMP0176,32,Prefer not to say,Healthcare,Remote,35,7,3,Low,Anxiety,Yes,No Change,5,Satisfied,Average
EMP0177,58,Prefer not to say,Manufacturing,Hybrid,55,12,3,Medium,Depression,No,No Change,5,Satisfied,Good
EMP0178,40,Female,Finance,Onsite,47,10,1,Medium,,No,Decrease,3,Neutral,Good
EMP0179,56,Female,Healthcare,Hybrid,57,10,4,High,,No,Increase,4,Satisfied,Good
EMP0180,44,Non-binary,Education,Hybrid,22,9,2,Medium,,Yes,Decrease,3,Unsatisfied,Good
EMP0181,30,Non-binary,IT,Remote,43,5,1,Medium,Burnout,Yes,Decrease,5,Neutral,Poor
EMP0182,49,Non-binary,Consulting,Remote,45,9,5,Low,,Yes,Decrease,4,Unsatisfied,Good
EMP0183,26,Male,Healthcare,Onsite,56,14,2,Low,Burnout,Yes,Increase,4,Satisfied,Average
EMP0184,52,Male,IT,Onsite,46,14,3,High,Depression,No,No Change,3,Neutral,Good
EMP0185,24,Prefer not to say,Manufacturing,Hybrid,60,0,5,Medium,Depression,No,Decrease,1,Neutral,Good
EMP0186,40,Non-binary,Consulting,Remote,32,9,1,Medium,Depression,No,No Change,1,Unsatisfied,Average
EMP0187,57,Non-binary,Manufacturing,Hybrid,59,13,5,Medium,Anxiety,Yes,Decrease,5,Unsatisfied,Average
EMP0188,23,Prefer not to say,Consulting,Onsite,60,13,5,High,,No,No Change,5,Neutral,Good
EMP0189,40,Prefer not to say,IT,Hybrid,43,4,5,High,Burnout,No,No Change,2,Unsatisfied,Average
EMP0190,45,Male,Education,Remote,33,8,1,Low,Burnout,Yes,No Change,4,Satisfied,Poor
EMP0191,46,Female,Finance,Hybrid,20,14,3,Low,,No,Decrease,5,Satisfied,Average
EMP0192,37,Female,Retail,Hybrid,27,2,1,Medium,Anxiety,Yes,No Change,4,Unsatisfied,Poor
EMP0193,51,Female,Healthcare,Onsite,43,1,5,Medium,Depression,No,No Change,4,Unsatisfied,Average
EMP0194,52,Male,IT,Onsite,23,12,2,Medium,Depression,No,Decrease,5,Neutral,Average
EMP0195,53,Male,Education,Onsite,29,0,1,Medium,Burnout,No,No Change,4,Neutral,Good
EMP0196,39,Male,Education,Remote,47,0,2,Medium,,No,Decrease,5,Neutral,Poor
EMP0197,56,Female,Healthcare,Onsite,46,12,1,Low,Anxiety,Yes,Increase,3,Neutral,Good
EMP0198,59,Non-binary,Manufacturing,Hybrid,40,2,1,Low,,Yes,Decrease,1,Neutral,Average
EMP0199,28,Male,Retail,Remote,47,0,4,High,Burnout,Yes,Decrease,1,Unsatisfied,Poor
EMP0200,36,Female,Finance,Remote,53,7,3,High,Burnout,No,Decrease,2,Unsatisfied,Average
EMP0201,45,Non-binary,Education,Hybrid,55,14,4,Medium,Burnout,No,Increase,4,Neutral,Average
EMP0202,52,Male,Retail,Remote,40,1,2,Medium,Anxiety,No,Decrease,2,Neutral,Good
EMP0203,55,Female,IT,Hybrid,28,8,5,Low,Depression,No,Decrease,2,Satisfied,Poor
EMP0204,58,Male,Consulting,Hybrid,39,14,3,Low,Burnout,No,No Change,3,Neutral,Good
EMP0205,51,Prefer not to say,IT,Onsite,41,5,5,Medium,Burnout,No,No Change,4,Unsatisfied,Good
EMP0206,52,Male,Finance,Onsite,21,3,5,Low,Burnout,Yes,Increase,4,Satisfied,Poor
EMP0207,54,Non-binary,IT,Onsite,34,11,3,Low,Burnout,Yes,No Change,2,Unsatisfied,Good
EMP0208,35,Male,Retail,Remote,36,14,3,Low,Burnout,No,Decrease,5,Unsatisfied,Good
EMP0209,39,Male,Manufacturing,Remote,32,2,4,High,Anxiety,Yes,Decrease,1,Satisfied,Average
EMP0210,47,Prefer not to say,Consulting,Hybrid,21,8,2,Medium,Anxiety,No,No Change,3,Unsatisfied,Average
EMP0211,49,Male,Manufacturing,Onsite,56,3,5,High,Anxiety,Yes,No Change,1,Satisfied,Poor
EMP0212,60,Prefer not to say,Manufacturing,Onsite,58,8,4,Low,Burnout,No,No Change,2,Satisfied,Poor
EMP0213,47,Female,Manufacturing,Onsite,35,8,1,High,,No,No Change,2,Satisfied,Good
EMP0214,27,Prefer not to say,Healthcare,Hybrid,52,3,1,Low,Anxiety,Yes,Decrease,4,Satisfied,Good
EMP0215,46,Prefer not to say,Consulting,Remote,33,8,1,Low,Depression,No,Increase,3,Neutral,Average
EMP0216,25,Non-binary,Manufacturing,Remote,47,9,2,Medium,Burnout,No,Decrease,1,Neutral,Good
EMP0217,30,Male,Education,Onsite,56,13,3,Medium,Depression,No,Increase,4,Satisfied,Poor
EMP0218,38,Prefer not to say,Education,Onsite,33,4,2,Low,Anxiety,Yes,Increase,2,Neutral,Average
EMP0219,56,Female,Education,Remote,60,9,3,Low,Anxiety,No,No Change,1,Satisfied,Average
EMP0220,42,Male,Manufacturing,Hybrid,32,5,4,Low,Burnout,No,No Change,2,Unsatisfied,Good
EMP0221,42,Prefer not to say,Retail,Hybrid,48,9,5,Medium,,No,Decrease,1,Satisfied,Good
EMP0222,30,Female,IT,Hybrid,39,6,4,High,,No,Increase,3,Neutral,Average
EMP0223,33,Male,Consulting,Onsite,23,6,3,High,Anxiety,Yes,No Change,5,Unsatisfied,Good
EMP0224,28,Non-binary,Retail,Hybrid,38,3,3,High,Anxiety,Yes,Decrease,4,Satisfied,Average
EMP0225,50,Non-binary,Manufacturing,Remote,30,5,1,Low,Anxiety,No,Increase,2,Unsatisfied,Average
EMP0226,44,Male,Retail,Onsite,35,3,1,Low,,Yes,Increase,3,Neutral,Good
EMP0227,40,Female,Healthcare,Remote,22,0,5,Medium,,Yes,Increase,4,Satisfied,Average
EMP0228,23,Male,IT,Onsite,28,15,2,Medium,Depression,Yes,Increase,3,Satisfied,Poor
EMP0229,30,Female,Consulting,Onsite,57,4,3,Medium,Burnout,No,Decrease,3,Neutral,Good
EMP0230,42,Female,Manufacturing,Hybrid,48,14,2,Low,Burnout,Yes,Decrease,3,Satisfied,Good
EMP0231,52,Male,Retail,Onsite,45,14,1,Medium,Burnout,No,No Change,5,Unsatisfied,Average
EMP0232,37,Male,Healthcare,Onsite,34,3,4,Low,Burnout,No,Decrease,3,Satisfied,Poor
EMP0233,28,Prefer not to say,Manufacturing,Hybrid,59,9,5,Low,Burnout,No,Decrease,1,Unsatisfied,Poor
EMP0234,31,Prefer not to say,Consulting,Remote,31,6,3,High,,Yes,Increase,3,Neutral,Average
EMP0235,23,Prefer not to say,Retail,Onsite,55,12,4,Low,Burnout,No,No Change,2,Neutral,Poor
EMP0236,37,Male,Finance,Remote,23,11,2,Low,Burnout,No,No Change,4,Unsatisfied,Average
EMP0237,25,Male,Healthcare,Hybrid,51,7,1,Medium,Depression,No,Decrease,2,Neutral,Average
EMP0238,55,Female,Manufacturing,Remote,32,11,5,Medium,Depression,Yes,No Change,1,Satisfied,Average
EMP0239,56,Non-binary,IT,Remote,41,14,5,Low,Depression,Yes,Increase,4,Neutral,Good
EMP0240,51,Prefer not to say,Manufacturing,Hybrid,46,10,1,Low,,No,No Change,1,Neutral,Poor
EMP0241,35,Male,Education,Onsite,58,15,4,High,Depression,No,No Change,3,Neutral,Poor
EMP0242,22,Non-binary,Manufacturing,Onsite,59,13,2,High,Burnout,Yes,Increase,3,Satisfied,Poor
EMP0243,34,Non-binary,Education,Remote,40,1,1,Medium,Depression,No,Decrease,5,Neutral,Good
EMP0244,37,Prefer not to say,Retail,Remote,56,3,2,High,Burnout,No,Decrease,1,Neutral,Poor
EMP0245,59,Prefer not to say,Finance,Onsite,47,11,2,High,Anxiety,Yes,No Change,1,Neutral,Poor
EMP0246,53,Female,IT,Hybrid,38,2,2,Low,Anxiety,Yes,Increase,2,Satisfied,Good
EMP0247,38,Male,Healthcare,Remote,59,12,5,Low,Anxiety,No,Increase,3,Neutral,Average
EMP0248,32,Male,Manufacturing,Onsite,47,4,1,Medium,,Yes,Increase,2,Unsatisfied,Poor
EMP0249,36,Prefer not to say,Manufacturing,Remote,49,6,3,Medium,Depression,No,Decrease,5,Neutral,Average
EMP0250,29,Female,Manufacturing,Hybrid,20,6,5,Low,,Yes,No Change,4,Satisfied,Poor
EMP0251,38,Non-binary,Manufacturing,Hybrid,50,9,1,High,Anxiety,Yes,Increase,2,Satisfied,Good
